,Simulation Angle,Simulation Data
0,-10.9375,0.5264572273994211
1,-10.8125,0.5377247072507427
2,-10.6875,0.5281583907404286
3,-10.5625,0.5480894399486205
4,-10.4375,0.5414869691534515
5,-10.3125,0.5508229377010736
6,-10.1875,0.5586858429281496
7,-10.0625,0.5503331507585868
8,-9.9375,0.5616442671355621
9,-9.8125,0.5695268749151301
10,-9.6875,0.5683756640292528
11,-9.5625,0.5675508014625054
12,-9.4375,0.5759041547915477
13,-9.3125,0.5854092479340511
14,-9.1875,0.584585575454367
15,-9.0625,0.5882536882471808
16,-8.9375,0.5893401055040575
17,-8.8125,0.5868418482944456
18,-8.6875,0.5918760488040063
19,-8.5625,0.5964015532099639
20,-8.4375,0.5867449223147364
21,-8.3125,0.5936782373134966
22,-8.1875,0.5964749419121993
23,-8.0625,0.5923854060670892
24,-7.9375,0.5946377119502902
25,-7.8125,0.6021016735473765
26,-7.6875,0.5878253891362968
27,-7.5625,0.6007714206744238
28,-7.4375,0.5788600665929379
29,-7.3125,0.5884107797395336
30,-7.1875,0.5818889704008755
31,-7.0625,0.5764702395379802
32,-6.9375,0.5754442522575388
33,-6.8125,0.5723502903568085
34,-6.6875,0.5768628360369659
35,-6.5625,0.58319647938773
36,-6.4375,0.5722474139417829
37,-6.3125,0.572890060955953
38,-6.1875,0.5761515606688135
39,-6.0625,0.5669261379861804
40,-5.9375,0.5643588557268986
41,-5.8125,0.5698415868274191
42,-5.6875,0.5650016349729644
43,-5.5625,0.5662542677230122
44,-5.4375,0.556528082850531
45,-5.3125,0.553438881298054
46,-5.1875,0.5560218991529503
47,-5.0625,0.5598342769442125
48,-4.9375,0.5517058500701296
49,-4.8125,0.5618747473301502
50,-4.6875,0.5526617544457335
51,-4.5625,0.5630810989166259
52,-4.4375,0.5551580281769066
53,-4.3125,0.554015412364264
54,-4.1875,0.5435060179722502
55,-4.0625,0.5623183853409608
56,-3.9375,0.5573479206052334
57,-3.8125,0.5555638478654843
58,-3.6875,0.5695346765969892
59,-3.5625,0.5659691757554093
60,-3.4375,0.5591393983311542
61,-3.3125,0.5576129133246567
62,-3.1875,0.5687227066400942
63,-3.0625,0.548055496020938
64,-2.9375,0.5745118851594087
65,-2.8125,0.5685515588972051
66,-2.6875,0.5756092908868363
67,-2.5625,0.5764567518845963
68,-2.4375,0.5671482875713257
69,-2.3125,0.5955501517017052
70,-2.1875,0.5671935241029198
71,-2.0625,0.5952312215919364
72,-1.9375,0.5970234662628536
73,-1.8125,0.6028654317550193
74,-1.6875,0.590827767225913
75,-1.5625,0.6172660670410219
76,-1.4375,0.5974054392513212
77,-1.3125,0.6234949827302178
78,-1.1875,0.6042014102690654
79,-1.0625,0.6258305497490035
80,-0.9375,0.6396543273560132
81,-0.8125,0.6398169011827707
82,-0.6875,0.6510762257641434
83,-0.5625,0.6415165226998719
84,-0.4375,0.6625953183182678
85,-0.3125,0.6625900347284026
86,-0.1875,0.6957229679288031
87,-0.0625,0.6053671217046492
88,0.0625,0.6746365544308829
89,0.0625,0.6746365544308829
90,0.1875,0.6053671217046492
91,0.3125,0.6957229679288031
92,0.4375,0.6625900347284026
93,0.5625,0.6625953183182678
94,0.6875,0.6415165226998719
95,0.8125,0.6510762257641434
96,0.9375,0.6398169011827707
97,1.0625,0.6396543273560132
98,1.1875,0.6258305497490035
99,1.3125,0.6042014102690654
100,1.4375,0.6234949827302178
101,1.5625,0.5974054392513212
102,1.6875,0.6172660670410219
103,1.8125,0.590827767225913
104,1.9375,0.6028654317550193
105,2.0625,0.5970234662628536
106,2.1875,0.5952312215919364
107,2.3125,0.5671935241029198
108,2.4375,0.5955501517017052
109,2.5625,0.5671482875713257
110,2.6875,0.5764567518845963
111,2.8125,0.5756092908868363
112,2.9375,0.5685515588972051
113,3.0625,0.5745118851594087
114,3.1875,0.548055496020938
115,3.3125,0.5687227066400942
116,3.4375,0.5576129133246567
117,3.5625,0.5591393983311542
118,3.6875,0.5659691757554093
119,3.8125,0.5695346765969892
120,3.9375,0.5555638478654843
121,4.0625,0.5573479206052334
122,4.1875,0.5623183853409608
123,4.3125,0.5435060179722502
124,4.4375,0.554015412364264
125,4.5625,0.5551580281769066
126,4.6875,0.5630810989166259
127,4.8125,0.5526617544457335
128,4.9375,0.5618747473301502
129,5.0625,0.5517058500701296
130,5.1875,0.5598342769442125
131,5.3125,0.5560218991529503
132,5.4375,0.553438881298054
133,5.5625,0.556528082850531
134,5.6875,0.5662542677230122
135,5.8125,0.5650016349729644
136,5.9375,0.5698415868274191
137,6.0625,0.5643588557268986
138,6.1875,0.5669261379861804
139,6.3125,0.5761515606688135
140,6.4375,0.572890060955953
141,6.5625,0.5722474139417829
142,6.6875,0.58319647938773
143,6.8125,0.5768628360369659
144,6.9375,0.5723502903568085
145,7.0625,0.5754442522575388
146,7.1875,0.5764702395379802
147,7.3125,0.5818889704008755
148,7.4375,0.5884107797395336
149,7.5625,0.5788600665929379
150,7.6875,0.6007714206744238
151,7.8125,0.5878253891362968
152,7.9375,0.6021016735473765
153,8.0625,0.5946377119502902
154,8.1875,0.5923854060670892
155,8.3125,0.5964749419121993
156,8.4375,0.5936782373134966
157,8.5625,0.5867449223147364
158,8.6875,0.5964015532099639
159,8.8125,0.5918760488040063
160,8.9375,0.5868418482944456
161,9.0625,0.5893401055040575
162,9.1875,0.5882536882471808
163,9.3125,0.584585575454367
164,9.4375,0.5854092479340511
165,9.5625,0.5759041547915477
166,9.6875,0.5675508014625054
167,9.8125,0.5683756640292528
168,9.9375,0.5695268749151301
