,Gaussian Angle,Gaussian Data
0,-12.0,0.6065151206140506
1,-11.9,0.6074432631139359
2,-11.8,0.6083650499698098
3,-11.700000000000001,0.6092804479553963
4,-11.600000000000001,0.6101894240393766
5,-11.500000000000002,0.6110919453873725
6,-11.400000000000002,0.6119879793639194
7,-11.300000000000002,0.6128774935344306
8,-11.200000000000003,0.6137604556671516
9,-11.100000000000003,0.6146368337351038
10,-11.000000000000004,0.6155065959180179
11,-10.900000000000004,0.6163697106042574
12,-10.800000000000004,0.617226146392731
13,-10.700000000000005,0.6180758720947942
14,-10.600000000000005,0.6189188567361407
15,-10.500000000000005,0.6197550695586812
16,-10.400000000000006,0.6205844800224134
17,-10.300000000000006,0.6214070578072775
18,-10.200000000000006,0.6222227728150027
19,-10.100000000000007,0.6230315951709409
20,-10.000000000000007,0.623833495225888
21,-9.900000000000007,0.6246284435578949
22,-9.800000000000008,0.6254164109740643
23,-9.700000000000008,0.6261973685123362
24,-9.600000000000009,0.6269712874432609
25,-9.500000000000009,0.6277381392717594
26,-9.40000000000001,0.6284978957388704
27,-9.30000000000001,0.6292505288234849
28,-9.20000000000001,0.6299960107440682
29,-9.10000000000001,0.6307343139603669
30,-9.00000000000001,0.6314654111751052
31,-8.900000000000011,0.6321892753356656
32,-8.800000000000011,0.6329058796357575
33,-8.700000000000012,0.6336151975170722
34,-8.600000000000012,0.634317202670926
35,-8.500000000000012,0.6350118690398909
36,-8.400000000000013,0.6356991708194162
37,-8.300000000000013,0.6363790824594431
38,-8.200000000000014,0.6370515786660208
39,-8.100000000000014,0.6377166344029339
40,-8.000000000000014,0.6383742248933606
41,-7.900000000000015,0.6390243256215966
42,-7.800000000000015,0.639666912334905
43,-7.700000000000015,0.6403019610455873
44,-7.600000000000016,0.6409294480334459
45,-7.500000000000016,0.6415493498489105
46,-7.400000000000016,0.6421616433172854
47,-7.300000000000017,0.6427663055448529
48,-7.200000000000017,0.6433633139280258
49,-7.100000000000017,0.6439526461674497
50,-7.000000000000018,0.6445342802900617
51,-6.900000000000018,0.6451081946838108
52,-6.8000000000000185,0.6456743681523348
53,-6.700000000000019,0.6462327800007762
54,-6.600000000000019,0.6467834101697226
55,-6.5000000000000195,0.6473262394427796
56,-6.40000000000002,0.6478612497656976
57,-6.30000000000002,0.6483884247328053
58,-6.200000000000021,0.6489077503218312
59,-6.100000000000021,0.6494192159937052
60,-6.000000000000021,0.6499228163230885
61,-5.900000000000022,0.6504185533924953
62,-5.800000000000022,0.6509064402732534
63,-5.700000000000022,0.6513865060364527
64,-5.600000000000023,0.6518588028936849
65,-5.500000000000023,0.6523234162686576
66,-5.4000000000000234,0.6527804788548589
67,-5.300000000000024,0.6532301900291074
68,-5.200000000000024,0.65367284237225
69,-5.1000000000000245,0.6541088574997564
70,-5.000000000000025,0.6545388339247902
71,-4.900000000000025,0.6549636102554786
72,-4.800000000000026,0.6553843476472939
73,-4.700000000000026,0.6558026360580442
74,-4.600000000000026,0.6562206294377387
75,-4.500000000000027,0.6566412154597655
76,-4.400000000000027,0.6570682256730108
77,-4.300000000000027,0.6575066919139378
78,-4.200000000000028,0.6579631543295186
79,-4.100000000000028,0.6584460252759435
80,-4.000000000000028,0.6589660115154241
81,-3.9000000000000288,0.6595365943792321
82,-3.800000000000029,0.660174563765441
83,-3.7000000000000295,0.6609005969031133
84,-3.60000000000003,0.6617398667172301
85,-3.50000000000003,0.662722657442014
86,-3.4000000000000306,0.6638849570487041
87,-3.300000000000031,0.6652689874182038
88,-3.2000000000000313,0.6669236245036595
89,-3.1000000000000316,0.6689046526656165
90,-3.000000000000032,0.6712747907529152
91,-2.9000000000000323,0.6741034233019273
92,-2.8000000000000327,0.6774659694633688
93,-2.700000000000033,0.6814428259629596
94,-2.6000000000000334,0.6861178294791217
95,-2.5000000000000338,0.6915761989783153
96,-2.400000000000034,0.6979019401451484
97,-2.3000000000000345,0.7051747219772456
98,-2.200000000000035,0.7134662692181125
99,-2.100000000000035,0.7228363522773874
100,-2.0000000000000355,0.7333284966880325
101,-1.9000000000000359,0.7449655744153
102,-1.8000000000000362,0.7577454764054394
103,-1.7000000000000366,0.7716370962709821
104,-1.600000000000037,0.7865768755169676
105,-1.5000000000000373,0.8024661680180969
106,-1.4000000000000377,0.8191696729261493
107,-1.300000000000038,0.836515159079669
108,-1.2000000000000384,0.8542946597473922
109,-1.1000000000000387,0.8722672550071974
110,-1.000000000000039,0.8901634825973397
111,-0.9000000000000394,0.90769133051691
112,-0.8000000000000398,0.9245436711554382
113,-0.7000000000000401,0.9404069034566891
114,-0.6000000000000405,0.9549704832867851
115,-0.5000000000000409,0.9679369495198007
116,-0.4000000000000412,0.9790320005471902
117,-0.30000000000004157,0.9880141479902205
118,-0.20000000000004192,0.9946834747245656
119,-0.10000000000004228,0.9988890542551354
120,-4.263256414560601e-14,1.0005346470994603
121,0.09999999999995701,0.999582373979837
122,0.19999999999995666,0.996054170053126
123,0.2999999999999563,0.9900309422166547
124,0.39999999999995595,0.9816494746981504
125,0.4999999999999556,0.9710972481969151
126,0.5999999999999552,0.9586054465831995
127,0.6999999999999549,0.9444405153188542
128,0.7999999999999545,0.9288947016071185
129,0.8999999999999542,0.9122760440631598
130,0.9999999999999538,0.8948982878998851
131,1.0999999999999535,0.8770711809989468
132,1.199999999999953,0.8590915596493275
133,1.2999999999999527,0.8412355648187981
134,1.3999999999999524,0.8237522464983831
135,1.499999999999952,0.8068587215715626
136,1.5999999999999517,0.7907369565870954
137,1.6999999999999513,0.7755321571138032
